id,academy,class,profession,number,adward_name,weight_average,average_score,rank_average,ability_evaluation_score,basic_quality_evaluation_score,overall_evaluation_score,overall_evaluation_ranking,research_innovation_score,research_innovation_ranking,professional_skill_score,professional_skill_ranking,stylistic_specialties_score,stylistic_specialties_ranking,group_work_score,group_work_ranking,social_practice_score,social_practice_ranking,counselor_reason,director_reason
1,哲学院,哲学1601,哲学,1601010105,国家励志奖学金,91.59,91.47,1,5.25,95,66.20,1,10.00,1,5.00,4,0.00,4,10.00,2,0.00,1,暂无数据,暂无数据
2,哲学院,哲学1601,哲学,1601010104,国家励志奖学金,90.26,90.26,4,5.55,95,65.56,2,0.00,3,15.00,1,10.00,1,18.00,1,0.00,1,暂无数据,暂无数据
3,哲学院,哲学1601,哲学,1601010102,国家励志奖学金,91.20,91.06,2,1.55,96,65.02,3,0.00,3,10.00,2,0.00,4,0.50,5,0.00,1,暂无数据,暂无数据
4,哲学院,哲学1601,哲学,1601010112,优秀学生奖学金（一等奖）,90.84,90.53,3,1.50,95,64.66,4,0.00,3,10.00,2,0.00,4,0.00,6,0.00,1,暂无数据,暂无数据
5,哲学院,哲学1601,哲学,1601010113,优秀学生奖学金（二等奖）,88.10,88.00,7,0.75,94,62.78,6,0.00,3,5.00,4,0.00,4,0.00,6,0.00,1,暂无数据,暂无数据
6,哲学院,哲学1601,哲学,1601010101,科研创新奖学金,87.54,87.67,9,1.75,94,62.77,7,5.00,2,0.00,7,0.00,4,0.00,6,0.00,1,暂无数据,暂无数据
7,哲学院,国政1601,国际政治,1601020114,优秀学生奖学金（一等奖）,91.46,91.38,2,7.75,99,67.48,1,0.00,3,25.00,1,10.00,2,0.00,7,10.00,2,暂无数据,暂无数据
8,哲学院,国政1601,国际政治,1601020132,优秀学生奖学金（一等奖）,93.00,93.19,1,4.65,99,67.40,2,10.00,1,5.00,8,0.00,6,4.00,6,0.00,6,暂无数据,暂无数据
9,哲学院,国政1601,国际政治,1601020106,优秀学生奖学金（二等奖）,89.23,89.40,8,7.55,98,66.04,3,0.00,3,5.00,8,0.00,6,8.00,5,24.00,1,暂无数据,暂无数据
10,哲学院,国政1601,国际政治,1601020105,优秀学生奖学金（二等奖）,91.18,91.13,3,3.00,99,65.90,4,0.00,3,20.00,2,0.00,6,0.00,7,0.00,6,暂无数据,暂无数据
11,哲学院,国政1601,国际政治,1601020112,优秀学生奖学金（二等奖）,89.61,90.12,6,4.30,97,65.13,5,3.00,2,5.00,8,0.00,6,0.00,7,10.00,2,暂无数据,暂无数据
12,哲学院,国政1601,国际政治,1601020109,优秀学生奖学金（三等奖）,89.80,90.28,4,2.50,99,64.99,6,0.00,3,5.00,8,5.00,3,10.00,3,0.00,6,暂无数据,暂无数据
13,哲学院,国政1601,国际政治,1601020127,优秀学生奖学金（三等奖）,89.76,89.78,5,1.25,99,64.59,7,0.00,3,0.00,14,0.00,6,0.00,7,5.00,4,暂无数据,暂无数据
14,哲学院,国政1601,国际政治,1601020102,优秀学生奖学金（三等奖）,88.77,88.89,11,1.50,99,64.12,9,0.00,3,10.00,5,0.00,6,0.00,7,0.00,6,暂无数据,暂无数据
15,哲学院,国政1601,国际政治,1601020119,国家励志奖学金,89.00,89.18,10,2.00,97,64.10,10,0.00,3,5.00,8,0.00,6,0.00,7,5.00,4,暂无数据,暂无数据
16,哲学院,国政1601,国际政治,1601020108,优秀学生奖学金（三等奖）,89.43,89.41,7,1.00,97,64.04,11,0.00,3,0.00,14,0.00,6,10.00,3,0.00,6,暂无数据,暂无数据
17,哲学院,国政1601,国际政治,1601020118,紫光励学金,89.14,89.25,9,0.00,99,63.88,12,0.00,3,0.00,14,0.00,6,0.00,7,0.00,6,暂无数据,暂无数据
18,哲学院,国政1601,国际政治,1601020123,社会工作奖学金,86.28,86.94,21,3.35,99,63.31,13,0.00,3,10.00,5,3.00,4,14.00,2,0.00,6,暂无数据,暂无数据
19,哲学院,国政1601,国际政治,1601020123,文体佳绩奖学金,86.28,86.94,21,3.35,99,63.31,13,0.00,3,10.00,5,3.00,4,14.00,2,0.00,6,暂无数据,暂无数据
20,哲学院,社会1601,社会学,1601040123,国家奖学金,94.24,94.31,1,6.28,99,68.57,1,0.00,7,20.00,3,6.00,2,22.50,1,0.50,4,暂无数据,暂无数据
21,哲学院,社会1601,社会学,1601040122,国家励志奖学金,93.08,93.53,2,6.32,96,67.49,2,0.00,7,5.00,10,2.00,4,14.00,2,15.50,1,暂无数据,暂无数据
22,哲学院,社会1601,社会学,1601040102,优秀学生奖学金（一等奖）,91.09,91.06,7,7.00,97,66.75,3,10.00,2,15.00,4,0.00,5,12.50,4,0.00,6,暂无数据,暂无数据
23,哲学院,社会1601,社会学,1601040115,优秀学生奖学金（二等奖）,92.05,92.00,3,7.00,93,66.68,4,11.00,1,21.00,2,0.00,5,0.00,7,0.00,6,暂无数据,暂无数据
24,哲学院,社会1601,社会学,1601040105,优秀学生奖学金（二等奖）,91.09,91.00,7,5.68,98,66.50,5,5.00,5,15.00,4,5.00,3,8.00,5,0.50,4,暂无数据,暂无数据
25,哲学院,社会1601,社会学,1601040112,优秀学生奖学金（二等奖）,91.19,91.27,6,5.38,97,66.32,7,10.00,2,10.00,8,0.00,5,0.00,7,1.50,3,暂无数据,暂无数据
26,哲学院,社会1601,社会学,1601040101,优秀学生奖学金（三等奖）,91.39,91.00,5,2.75,93,65.04,9,0.00,7,10.00,8,0.00,5,0.00,7,5.00,2,暂无数据,暂无数据
27,哲学院,哲学1701,哲学,201721140190,优秀学生奖学金（一等奖）,94.63,94.33,1,5.50,100,68.70,1,12.00,1,6.00,4,0.00,4,4.00,12,0.00,1,暂无数据,暂无数据
28,哲学院,哲学1701,哲学,201721140011,优秀学生奖学金（二等奖）,94.49,93.79,2,4.30,100,68.26,2,3.00,2,6.00,4,0.00,4,23.50,2,0.00,1,暂无数据,暂无数据
29,哲学院,哲学1701,哲学,201721140041,优秀学生奖学金（二等奖）,91.51,91.29,3,1.15,100,65.68,3,0.00,3,0.00,15,1.00,3,10.00,6,0.00,1,暂无数据,暂无数据
30,哲学院,哲学1701,哲学,201721140035,优秀学生奖学金（二等奖）,91.14,91.00,4,0.90,100,65.40,4,0.00,3,6.00,4,0.00,4,0.00,13,0.00,1,暂无数据,暂无数据
31,哲学院,哲学1701,哲学,201721140163,优秀学生奖学金（三等奖）,89.46,89.05,6,3.00,100,65.10,5,0.00,3,20.00,1,0.00,4,0.00,13,0.00,1,暂无数据,暂无数据
32,哲学院,哲学1701,哲学,201721140046,优秀学生奖学金（三等奖）,88.59,89.13,7,3.40,100,64.74,6,0.00,3,10.00,3,0.00,4,19.00,5,0.00,1,暂无数据,暂无数据
33,哲学院,哲学1701,哲学,201721140182,国家励志奖学金,87.97,87.26,8,2.40,100,64.10,7,0.00,3,3.00,13,0.00,4,19.50,4,0.00,1,暂无数据,暂无数据
34,哲学院,哲学1701,哲学,201721140034,优秀学生奖学金（三等奖）,87.87,88.42,9,1.25,100,63.70,8,0.00,3,5.00,11,0.00,4,5.00,9,0.00,1,暂无数据,暂无数据
35,哲学院,哲学1701,哲学,201721140027,优秀学生奖学金（三等奖）,87.39,87.46,11,1.25,99,63.29,11,0.00,3,3.00,13,0.00,4,8.00,7,0.00,1,暂无数据,暂无数据
36,哲学院,首国政1701,国际政治,201721140162,优秀学生奖学金（一等奖）,88.66,89.52,9,9.08,100,66.49,1,5.50,1,3.00,22,6.00,5,33.00,1,10.00,1,暂无数据,暂无数据
37,哲学院,首国政1701,国际政治,201721140159,优秀学生奖学金（一等奖）,90.91,90.40,3,4.62,100,66.39,2,0.00,5,18.00,3,1.50,10,7.00,13,4.00,2,暂无数据,暂无数据
38,哲学院,首国政1701,国际政治,201721140001,优秀学生奖学金（二等奖）,89.46,89.63,6,6.65,100,66.20,3,5.50,1,20.50,2,8.00,4,4.50,16,0.00,7,暂无数据,暂无数据
39,哲学院,首国政1701,国际政治,201721040154,优秀学生奖学金（二等奖）,92.09,92.16,2,2.25,98,66.02,4,0.00,5,11.00,11,0.00,14,6.00,15,0.00,7,暂无数据,暂无数据
40,哲学院,首国政1701,国际政治,201721140003,优秀学生奖学金（二等奖）,89.66,89.28,5,5.98,98,65.81,5,0.00,5,8.00,13,22.50,1,14.00,4,0.00,7,暂无数据,暂无数据
41,哲学院,首国政1701,国际政治,201721140029,优秀学生奖学金（三等奖）,90.54,90.46,4,2.38,100,65.51,6,0.00,5,8.00,13,1.50,10,9.50,8,0.00,7,暂无数据,暂无数据
