id,number,gender,nation,academy,profession,class,结项级别,结项等级,奖项或成果名称,组办单位,获奖类型,获奖时间
1,201721140001,男,汉族,哲学院,国际政治,国政1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
2,201721030371,男,汉族,金融学院,保险学（精算）,保精1701,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-01
3,201721090249,男,汉族,统计与数学学院,信息与计算科学,信科1701,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-03-28
4,201721050312,女,汉族,刑事司法学院,边防管理,边管1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-07
5,1609110147,男,汉族,统计与数学学院,应用统计学,应统1601,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
6,201721060169,男,汉族,工商管理学院,国际经济与贸易,国贸1702,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-09-01
7,201821140014,男,汉族,哲学院,社会学,社会1801,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-04
8,1611080135,女,苗族,外国语学院,商务英语,商英1601,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-11-12
9,201721080053,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（基地班）,会基1701,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
10,201721100064,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,劳动与社会保障,劳保1701,校级结项,第一,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-28
11,1606080125,女,汉族,工商管理学院,农林经济管理,农经1601,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
12,201721070008,女,汉族,财政税务学院,财政学,财政1703,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2019-05-07
13,1608030440,男,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1604,校级结项,第二,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
14,1603080252,男,达斡尔族,金融学院,投资学,投资1602,校级结项,第三及以后,“博文杯”大学生百项实证创新基金项目,中南财经政法大学科研部,团体,2018-12-21
15,201721080041,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,院级结项,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-12-21
