id,number,gender,nation,academy,profession,class,competition_level,award_level,award_name,organization,award_type,is_principal,award_date
1,1604000832,女,汉族,法学院,法学,法1608,国家级竞赛,二等奖,大学生创新创业训练计划-创新项目,教育部,团体,是,2018-12-01
2,201721020050,男,汉族,经济学院,经济学,经济1701,院级竞赛,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,暂无数据,2018-12-08
3,1605010104,男,汉族,刑事司法学院,侦查学,侦查1601,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,个体,暂无数据,2019-05-05
4,1606010210,女,汉族,工商管理学院,国际经济与贸易,国贸1602,院级竞赛,三等奖,“工商学苑杯”经济管理学论坛论文评比,工商管理学院,团体,暂无数据,2018-12-01
5,201821080149,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（基地班）,会基1801,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-06-27
6,201721040234,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,校级竞赛,三等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,暂无数据,2019-09-08
7,201821050207,男,汉族,刑事司法学院,公安学类,公安1804,校级竞赛,三等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,否,2019-06-06
8,1611080306,女,汉族,外国语学院,商务英语,商英1603,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,是,2019-05-05
9,201721020080,男,汉族,经济学院,经济学,经济1702,校级竞赛,三等奖,"""挑战杯""全国大学生课外学术科技作品竞赛",共青团中央,团体,是,2019-05-04
10,1608010122,男,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1601,国家级竞赛,一等奖,大学生创新创业训练计划-创新项目,教育部,团体,暂无数据,2018-10-01
11,201721070073,女,汉族,财政税务学院,税收学,税务1703,校级竞赛,三等奖,"""挑战杯""全国大学生课外学术科技作品竞赛",共青团中央,团体,暂无数据,2019-04-01
12,201721090280,女,汉族,统计与数学学院,经济统计学,经统1701,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-06
13,201821320063,女,汉族,文澜学院,经济管理试验班,经管1801,国家级竞赛,优秀奖,中国“互联网+”大学生创新创业大赛,教育部,团体,暂无数据,2019-08-01
14,201821320046,女,汉族,文澜学院,经济管理试验班,经管1801,校级竞赛,优秀奖,中国“互联网+”大学生创新创业大赛,教育部,团体,暂无数据,2019-06-30
15,201721130146,男,汉族,信息与安全工程学院,信息管理与信息系统（金融信息）,信管1702,校级竞赛,优秀奖,中国“互联网+”大学生创新创业大赛,教育部,团体,暂无数据,2019-04-08
16,1609030143,女,汉族,信息与安全工程学院,信息管理与信息系统,信管1601,校级竞赛,一等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-12-21
17,1604000246,女,汉族,法学院,法学,法1602,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-01
18,1602010245,女,蒙古族,经济学院,经济学,经济1602,院级竞赛,优秀奖,财经评论员大赛,经济学院,个体,暂无数据,2019-05-07
19,201721130071,男,汉族,信息与安全工程学院,信息管理与信息系统,信管1701,校级竞赛,优秀奖,中国“互联网+”大学生创新创业大赛,教育部,团体,是,2019-07-08
20,201721020071,女,汉族,经济学院,国际商务,国商1701,国家级竞赛,二等奖,全国财经院校创新创业大赛,全国财经院校创新创业联盟,团体,否,2018-09-05
21,1608020126,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1601,校级竞赛,二等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-12-21
22,201821040688,女,汉族,法学院,法学类,法1806,校级竞赛,优秀奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-01-03
23,1606080125,女,汉族,工商管理学院,农林经济管理,农经1601,院级竞赛,二等奖,“工商学苑杯”经济管理学论坛论文评比,工商管理学院,团体,暂无数据,2018-12-01
24,1606040216,女,汉族,工商管理学院,工商管理,工商1602,院级竞赛,二等奖,“明日之星“本科生学术论坛,会计学院,团体,暂无数据,2018-10-17
25,201721070137,男,汉族,财政税务学院,财政学,财政1702,校级竞赛,三等奖,"""挑战杯""全国大学生课外学术科技作品竞赛",共青团中央,团体,暂无数据,2019-04-11
26,1632010106,女,汉族,文澜学院,经济管理试验班,经管1601,校级竞赛,一等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2018-12-21
27,1606050212,女,汉族,工商管理学院,市场营销,市营1602,校级竞赛,优秀奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2017-09-27
28,1604000229,女,汉族,法学院,法学,法1602,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-01
29,201721080233,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1702,校级竞赛,三等奖,“博文杯”大学生百项实证创新基金优秀项目,中南财经政法大学,团体,暂无数据,2019-05-08
30,1609100149,女,汉族,统计与数学学院,经济统计学,经统1601,国家级竞赛,一等奖,大学生创新创业训练计划-创新项目,教育部,团体,暂无数据,2018-09-05
31,201821050081,男,汉族,刑事司法学院,公安学类,公安1804,校级竞赛,二等奖,中国“互联网+”大学生创新创业大赛,教育部,团体,否,2019-08-01
32,201721030141,女,汉族,金融学院,房地产开发与管理,房产1701,校级竞赛,三等奖,暂无数据,共青团中央,团体,暂无数据,2019-06-05
