序号,学号,学院,专业,班级,加权平均成绩,算术平均成绩,能力评价总分,基本素质总分,综合评价总分,加权平均成绩年级专业排名,科研创新总分排名,专业技能总分排名,文体特长总分排名,团学工作总分排名,社会实践总分排名,必修课程门数,必修课程及格门数,体测成绩
1,1601010105,哲学院,哲学,哲学1601,91.59,91.47,5.25,95,66.20/18,1/18,1/18,4/18,4/18,2/18,1/18,17,17,合格
2,1601010104,哲学院,哲学,哲学1601,90.26,90.26,5.55,95,65.56/18,4/18,3/18,1/18,1/18,1/18,1/18,19,19,合格
3,1601010102,哲学院,哲学,哲学1601,91.20,91.06,1.55,96,65.02/18,2/18,3/18,2/18,4/18,5/18,1/18,18,18,合格
4,1601010112,哲学院,哲学,哲学1601,90.84,90.53,1.50,95,64.66/18,3/18,3/18,2/18,4/18,6/18,1/18,19,19,合格
5,1601010111,哲学院,哲学,哲学1601,87.93,87.28,1.38,95,63.03/18,8/18,3/18,4/18,3/18,3/18,1/18,19,18,合格
6,1601010113,哲学院,哲学,哲学1601,88.10,88.00,0.75,94,62.78/18,7/18,3/18,4/18,4/18,6/18,1/18,18,18,合格
7,1601010101,哲学院,哲学,哲学1601,87.54,87.67,1.75,94,62.77/18,9/18,2/18,7/18,4/18,6/18,1/18,18,18,合格
8,1601010109,哲学院,哲学,哲学1601,89.28,89.21,0.70,0,49.31/18,5/18,3/18,7/18,2/18,4/18,1/18,19,19,不合格
9,1401010141,哲学院,哲学,哲学1601,88.65,89.00,0,0,48.76/18,6/18,3/18,7/18,4/18,6/18,1/18,15,15,合格
10,1601010108,哲学院,哲学,哲学1601,86.31,85.76,0,0,47.47/18,10/18,3/18,7/18,4/18,6/18,1/18,17,17,不合格
11,1601010106,哲学院,哲学,哲学1601,84.34,84.26,0,0,46.39/18,11/18,3/18,7/18,4/18,6/18,1/18,19,19,合格
12,1601010116,哲学院,哲学,哲学1601,84.21,84.10,0,0,46.32/18,12/18,3/18,7/18,4/18,6/18,1/18,21,21,合格
13,1601010103,哲学院,哲学,哲学1601,83.88,83.84,0,0,46.13/18,13/18,3/18,7/18,4/18,6/18,1/18,19,19,不合格
14,1601010110,哲学院,哲学,哲学1601,83.70,83.00,0,0,46.04/18,14/18,3/18,7/18,4/18,6/18,1/18,19,18,合格
15,1601010107,哲学院,哲学,哲学1601,83.01,82.86,0,0,45.66/18,15/18,3/18,7/18,4/18,6/18,1/18,22,22,合格
16,1601010115,哲学院,哲学,哲学1601,82.42,82.35,0,0,45.33/18,16/18,3/18,7/18,4/18,6/18,1/18,20,20,合格
17,1601010117,哲学院,哲学,哲学1601,81.28,80.71,0,0,44.70/18,17/18,3/18,7/18,4/18,6/18,1/18,17,17,合格
18,1601010114,哲学院,哲学,哲学1601,78.19,76.94,0,0,43.00/18,18/18,3/18,7/18,4/18,6/18,1/18,18,17,不合格
19,1601020114,哲学院,国际政治,国政1601,91.46,91.38,7.75,99,67.48/34,2/34,3/34,1/34,2/34,7/34,2/34,21,21,合格
20,1601020132,哲学院,国际政治,国政1601,93.00,93.19,4.65,99,67.40/34,1/34,1/34,8/34,6/34,6/34,6/34,16,16,合格
21,1601020106,哲学院,国际政治,国政1601,89.23,89.40,7.55,98,66.04/34,8/34,3/34,8/34,6/34,5/34,1/34,20,20,合格
22,1601020105,哲学院,国际政治,国政1601,91.18,91.13,3.00,99,65.90/34,3/34,3/34,2/34,6/34,7/34,6/34,15,15,合格
23,1601020112,哲学院,国际政治,国政1601,89.61,90.12,4.30,97,65.13/34,6/34,2/34,8/34,6/34,7/34,2/34,17,17,合格
24,1601020109,哲学院,国际政治,国政1601,89.80,90.28,2.50,99,64.99/34,4/34,3/34,8/34,3/34,3/34,6/34,18,18,合格
25,1601020127,哲学院,国际政治,国政1601,89.76,89.78,1.25,99,64.59/34,5/34,3/34,14/34,6/34,7/34,4/34,18,18,合格
26,1601020103,哲学院,国际政治,国政1601,88.65,88.55,2.85,97,64.16/34,12/34,3/34,8/34,1/34,7/34,6/34,21,21,不合格
27,1601020102,哲学院,国际政治,国政1601,88.77,88.89,1.50,99,64.12/34,11/34,3/34,5/34,6/34,7/34,6/34,19,19,合格
28,1601020119,哲学院,国际政治,国政1601,89.00,89.18,2.00,97,64.10/34,10/34,3/34,8/34,6/34,7/34,4/34,17,17,合格
29,1601020108,哲学院,国际政治,国政1601,89.43,89.41,1.00,97,64.04/34,7/34,3/34,14/34,6/34,3/34,6/34,17,17,合格
30,1601020118,哲学院,国际政治,国政1601,89.14,89.25,0.00,99,63.88/34,9/34,3/34,14/34,6/34,7/34,6/34,16,16,合格
31,1601020123,哲学院,国际政治,国政1601,86.28,86.94,3.35,99,63.31/34,21/34,3/34,5/34,4/34,2/34,6/34,18,18,合格
32,1601020130,哲学院,国际政治,国政1601,85.69,85.31,3.00,99,62.88/34,23/34,3/34,2/34,6/34,7/34,6/34,16,16,合格
33,1601020125,哲学院,国际政治,国政1601,86.81,86.75,1.95,96,62.73/34,18/34,3/34,4/34,6/34,7/34,6/34,16,16,合格
34,1601020113,哲学院,国际政治,国政1601,86.98,86.67,0.00,99,62.69/34,16/34,3/34,14/34,6/34,7/34,6/34,18,18,合格
35,1601020126,哲学院,国际政治,国政1601,86.57,86.39,0.00,99,62.46/34,19/34,3/34,14/34,6/34,7/34,6/34,18,18,合格
36,1601020133,哲学院,国际政治,国政1601,82.00,82.58,3.95,98,60.98/34,30/34,3/34,5/34,5/34,1/34,6/34,19,18,合格
37,1601020107,哲学院,国际政治,国政1601,88.30,88.06,0,0,48.57/34,13/34,3/34,14/34,6/34,7/34,6/34,17,17,合格
