id,number,gender,nation,academy,profession,class,volunteer_level,award_level,award_name,organization,award_type,award_date
1,1604001039,女,汉族,法学院,法学,法1610,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-15
2,201721040754,女,汉族,法学院,法学,法1704,院级表彰,志愿服务优秀团队,“四进社区”志愿服务活动,各学院,个体,2018-12-01
3,201821090270,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（CPAC）,CPAC1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-06
4,1604000912,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（CPAC）,CPAC1601,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-20
5,201821040335,女,汉族,法学院,法学类,法1815,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2019-04-13
6,201721100030,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共事业管理,公管1701,院级表彰,志愿服务先进个人,志愿服务“先进个人” - 优秀志愿者,各学院,个体,2019-05-04
7,201721060263,女,黎族,工商管理学院,市场营销,市营1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-22
8,201721100054,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-06-01
9,201821030126,男,汉族,金融学院,金融学类,金融1803,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-09
10,201821020065,男,汉族,经济学院,经济学,经济1804,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2018-11-22
11,201821040576,女,汉族,法学院,法学类,法1810,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-14
12,201821060073,女,汉族,工商管理学院,工商管理类,工商1803,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-03-31
13,201821040241,男,汉族,法学院,法学类,法1813,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-09
14,201821040148,女,汉族,法学院,法学类,法1813,院级表彰,志愿服务优秀团队,“四进社区”志愿服务活动,各学院,个体,2019-03-10
15,201721070129,女,汉族,财政税务学院,税收学,税务1702,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-10-21
16,201721110277,女,汉族,外国语学院,日语,日语1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-02-23
17,201821040269,男,汉族,法学院,法学类,法1816,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-06
18,201721120142,男,汉族,新闻与文化传播学院,网络与新媒体,网媒1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-14
19,201821100103,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1803,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-03-21
20,201821060082,女,汉族,工商管理学院,工商管理类,工商1805,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-02
21,1606040205,女,汉族,工商管理学院,工商管理,工商1602,校级表彰,志愿服务先进个人,志愿服务“先进个人” - 优秀志愿者,共青团中南财经政法大学委员会,个体,2019-05-04
22,201821060058,女,壮族,工商管理学院,工商管理类,工商1804,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-27
23,1609050159,女,黎族,信息与安全工程学院,计算机科学与技术,计科1601,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-09-29
24,201721040257,女,汉族,法学院,法学,外法1701,院级表彰,志愿服务优秀团队,“四进社区”志愿服务活动,各学院,个体,2019-06-30
25,201821060386,男,汉族,工商管理学院,工商管理类,工商1805,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-16
26,201821090167,女,汉族,统计与数学学院,统计学类,统计1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-18
27,201821140064,女,汉族,哲学院,国际政治,国政1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-09-01
28,201821130085,女,汉族,信息与安全工程学院,计算机类,信息1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-11
29,201821320046,女,汉族,文澜学院,经济管理试验班,经管1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-25
30,201821060352,女,汉族,工商管理学院,经济与贸易类,经贸1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-09
31,201821040270,女,汉族,法学院,法学类,法1802,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-18
32,201821110256,女,汉族,外国语学院,外国语言文学类,英语1802,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-03-24
33,201821100103,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1803,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-18
34,201721060501,女,汉族,工商管理学院,农林经济管理,农经1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-12-07
35,201721040667,男,汉族,法学院,法学,法1704,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-09-07
36,201821020180,女,汉族,经济学院,经济学,经济1804,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-09
37,201721140005,女,汉族,法学院,法学,民商1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-01
38,201721060630,女,土家族,工商管理学院,贸易经济,贸经1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-26
39,201821120089,女,汉族,新闻与文化传播学院,新闻传播学类,新闻1802,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-03
40,201821050068,男,汉族,刑事司法学院,公安学类,公安1803,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-14
41,1604000342,男,汉族,法学院,法学,法1603,校级表彰,志愿服务优秀团队,志愿服务“优秀团队”,共青团中南财经政法大学委员会,团体,2019-05-04
42,201821040321,女,汉族,法学院,法学类,法1810,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-16
43,201821080175,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1803,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-01
44,201821050132,男,汉族,刑事司法学院,公安学类,公安1803,校级表彰,志愿服务先进个人,志愿服务“先进个人” - 优秀志愿者,共青团中南财经政法大学委员会,个体,2019-08-01
45,201821030309,女,汉族,金融学院,金融学类,金融1806,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-03-22
46,201821040310,女,汉族,法学院,法学类,法1812,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-03-16
47,201721060483,女,汉族,工商管理学院,工商管理,工商1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-05
48,201721040510,女,汉族,法学院,法学,法1701,院级表彰,其他（参加活动但未获奖）,“四进社区”志愿服务活动,各学院,个体,2019-03-01
49,201821040190,男,汉族,法学院,法学类,法1812,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-22
50,201821090224,女,汉族,统计与数学学院,经济统计学,经统1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-07-18
51,201821070108,女,汉族,财政税务学院,财政学类,财政1804,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-08
52,201721110293,女,汉族,外国语学院,日语,日语1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-05-25
53,201721030361,男,汉族,金融学院,保险学（精算）,保精1701,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-14
54,201821040399,女,汉族,法学院,法学类,法1801,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2019-07-27
55,1604000210,女,汉族,法学院,法学,法1602,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-06-03
56,201721020127,女,回族,经济学院,经济学,经济1702,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-10-01
57,1612040207,女,汉族,法学院,法学,外法1601,院级表彰,志愿服务优秀团队,“四进社区”志愿服务活动,各学院,团体,2019-03-16
58,1606090146,女,壮族,工商管理学院,电子商务（管理）,商务1601,院级表彰,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-05
