序号,学号,性别,民族,学院,专业,班级,荣誉级别,荣誉类型,荣誉名称,颁奖单位,获得荣誉时间
1,201721030079,女,汉族,金融学院,工程管理,工程1701,校级,团学先进个人,优秀大学生艺术团团员,共青团中南财经政法大学委员会,2019-05-04
2,1603080209,女,汉族,金融学院,投资学,投资1602,院级,团学先进个人,综合表彰之模范团干,各学院,2019-05-04
3,201721120146,女,汉族,新闻与文化传播学院,网络与新媒体,网媒1701,院级,优秀学生干部,优秀学生干部,各学院（综合表彰）,2019-05-04
4,201821040399,女,汉族,法学院,法学类,法1801,院级,团学先进个人,法学院-五四表彰-个人荣誉称号,法学院,2019-06-07
5,201821030407,女,汉族,金融学院,管理科学与工程类,管工1801,院级,团学先进个人,优秀学生干事,各学院团委,2019-05-18
6,201721020023,女,汉族,财政税务学院,财政学（中英班）,国财1701,院级,团学先进个人,综合表彰之模范团干,各学院,2019-05-05
7,201721070177,男,汉族,财政税务学院,税收学,税务1701,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-02-28
8,1609100104,女,汉族,统计与数学学院,经济统计学,经统1601,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-04
9,201821100076,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1802,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-08
10,201721060550,男,汉族,工商管理学院,工商管理,工商1701,院级,团学先进个人,校大运会院级综合表彰,各学院,2018-12-12
11,201821040091,女,汉族,法学院,法学类,法1803,院级,团学先进个人,法学院-五四表彰-个人荣誉称号,法学院,2019-06-19
12,1606070124,女,汉族,工商管理学院,旅游管理,旅游1601,省级,团学先进个人,湖北省高校广播工作优秀个人,湖北省高校广播专业委员会,2018-12-06
13,201821040592,女,土家族,法学院,法学类,法1816,校级,团学先进个人,优秀共青团员,共青团中南财经政法大学委员会,2019-05-04
14,201821030247,女,汉族,金融学院,管理科学与工程类,管工1801,院级,团学先进个人,金融学院-五四表彰-个人荣誉称号,金融学院,2019-05-04
15,201821100066,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共管理类,公管1802,院级,团学先进个人,综合表彰之优秀（先锋）共青团员,各学院,2019-05-05
16,201821020169,女,汉族,经济学院,国际商务,国商1801,院级,团学先进个人,优秀（先锋）共青团员,各学院（综合表彰）,2019-05-07
