id,number,gender,nation,academy,profession,class,skill_type,skill_level,award_name,award_date,note
1,201721030265,男,汉族,金融学院,工程造价,造价1701,外语水平类,初级,全国大学英语四级考试,2018-12-08,暂无数据
2,1606020157,女,汉族,工商管理学院,贸易经济,贸经1601,职业证书类,初级,初级会计专业技术资格考试,2019-05-30,暂无数据
3,1608020136,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1601,职业证书类,初级,初级会计专业技术资格考试,2019-06-13,暂无数据
4,201721080032,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1701,外语水平类,初级,全国大学英语四级考试,2018-12-01,暂无数据
5,201721060646,女,汉族,工商管理学院,工商管理（国际班）,工商国际1701,外语水平类,初级,全国大学英语四级考试,2019-05-01,暂无数据
6,1603010210,女,汉族,金融学院,金融学,金融1602,职业证书类,初级,银行业专业人员职业资格证书,2019-06-01,暂无数据
7,201721130135,女,汉族,金融学院,金融学,金融1702,职业证书类,初级,证券从业人员资格考试,2019-03-02,暂无数据
8,1604060104,女,汉族,法学院,法学,民商1601,外语水平类,中级,全国大学英语六级考试,2019-09-09,暂无数据
9,201721060482,男,汉族,工商管理学院,管理科学,管科1701,外语水平类,中级,全国大学英语六级考试,2019-09-01,暂无数据
10,201821110206,男,汉族,外国语学院,日语,日语1801,计算机水平类,中级,全国计算机等级考试(1-4),2019-03-30,暂无数据
11,201721040615,女,汉族,法学院,法学,法1701,外语水平类,中级,全国大学英语六级考试,2019-08-28,暂无数据
12,1603080235,女,汉族,金融学院,投资学,投资1602,职业证书类,中级,金融风险管理师(FRM),2019-05-17,暂无数据
13,1611080118,女,汉族,金融学院,金融学（中美）,国金1601,外语水平类,中级,全国大学英语六级考试,2019-08-21,暂无数据
14,201721020211,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1701,外语水平类,中级,全国大学英语六级考试,2019-06-23,暂无数据
15,201721060062,女,汉族,工商管理学院,国际经济与贸易,国贸1701,职业证书类,初级,证券从业人员资格考试,2019-03-15,暂无数据
16,201721060272,男,汉族,工商管理学院,市场营销,市营1702,外语水平类,中级,全国大学英语六级考试,2019-08-21,暂无数据
17,1604060139,男,汉族,法学院,法学（卓越）,卓越1601,外语水平类,中级,雅思英语水平考试(IELTS),2019-06-11,暂无数据
18,201821030183,女,汉族,金融学院,金融学类,金融1808,计算机水平类,中级,全国计算机等级考试(1-4),2019-03-31,暂无数据
19,201821070005,女,汉族,财政税务学院,财政学类,财政1805,计算机水平类,初级,全国计算机等级考试(1-4),2019-05-17,暂无数据
20,201721040487,男,汉族,法学院,法学,民商1702,外语水平类,初级,大学法语四级（CFT-4/TFU-4）,2019-08-21,暂无数据
21,1606060130,女,土家族,工商管理学院,人力资源管理,人力1601,职业证书类,中级,普通话水平测试等级,2018-12-18,暂无数据
22,201721060205,女,瑶族,工商管理学院,人力资源管理,人力1701,外语水平类,初级,全国大学英语四级考试,2019-02-26,暂无数据
23,201721060374,女,汉族,工商管理学院,人力资源管理,人力1701,外语水平类,初级,全国大学英语四级考试,2018-12-07,暂无数据
24,201721040138,女,汉族,法学院,法学,法1702,外语水平类,初级,全国大学英语四级考试,2019-05-17,暂无数据
25,201721040282,男,汉族,刑事司法学院,法学（司）,司法1702,外语水平类,中级,全国大学英语六级考试,2019-08-22,暂无数据
26,201721080325,女,土家族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,外语水平类,中级,雅思英语水平考试(IELTS),2019-09-11,暂无数据
27,1606090153,女,汉族,工商管理学院,电子商务（管理）,商务1601,外语水平类,中级,全国大学英语六级考试,2019-08-22,暂无数据
28,1611060117,女,汉族,外国语学院,法语,法语1601,职业证书类,高级,普通话水平测试等级,2019-05-23,暂无数据
29,201721020098,女,汉族,经济学院,国际商务,国商1701,外语水平类,初级,全国大学英语四级考试,2018-12-15,暂无数据
30,1611080226,女,汉族,外国语学院,商务英语,商英1602,外语水平类,高级,雅思英语水平考试(IELTS),2019-05-28,暂无数据
31,201721060359,女,汉族,工商管理学院,国际经济与贸易,国贸1701,外语水平类,初级,全国大学英语四级考试,2019-01-06,暂无数据
32,201721250137,女,汉族,中韩新媒体学院,电影学（影像）,影像1702,外语水平类,初级,全国大学英语四级考试,2019-02-27,暂无数据
33,201721050329,男,汉族,刑事司法学院,侦查学,职侦1701,计算机水平类,中级,全国计算机等级考试(1-4),2018-11-01,暂无数据
34,201721060272,男,汉族,工商管理学院,市场营销,市营1702,外语水平类,初级,全国大学英语四级考试,2019-02-23,暂无数据
35,201721060120,女,汉族,工商管理学院,管理科学,管科1701,外语水平类,初级,全国大学英语四级考试,2019-03-06,暂无数据
36,201721060541,女,土家族,工商管理学院,贸易经济,贸经1701,外语水平类,初级,全国大学英语四级考试,2018-12-08,暂无数据
37,201721140156,女,汉族,法学院,法学,法1705,外语水平类,中级,全国大学英语六级考试,2019-08-21,暂无数据
38,1603090152,男,汉族,金融学院,金融工程,金工1601,外语水平类,中级,全国大学英语六级考试,2019-08-21,暂无数据
39,201721060341,男,汉族,工商管理学院,贸易经济,贸经1701,外语水平类,初级,全国大学英语四级考试,2019-08-09,暂无数据
40,201729030514,女,白族,金融学院,金融学,金融1701,外语水平类,初级,全国大学英语四级考试,2018-12-06,暂无数据
41,1609020117,女,汉族,统计与数学学院,统计学,统计1601,外语水平类,初级,全国大学英语六级考试,2018-12-16,暂无数据
42,201721030099,女,汉族,金融学院,工程管理,工程1701,职业证书类,初级,期货从业人员资格考试,2019-05-23,暂无数据
43,201721080324,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1702,职业证书类,中级,普通话水平测试等级,2018-11-23,暂无数据
44,201721040179,女,汉族,法学院,法学,法1707,外语水平类,中级,全国大学英语六级考试,2019-08-21,暂无数据
45,201721080233,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1702,外语水平类,初级,全国大学英语四级考试,2019-03-01,暂无数据
46,1611080126,女,土家族,外国语学院,商务英语,商英1601,外语水平类,高级,剑桥商务英语(BEC),2018-11-20,暂无数据
47,201721110086,女,汉族,外国语学院,英语,英语1701,职业证书类,初级,ACCA商业会计师证,2019-07-21,暂无数据
48,201721100091,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1701,计算机水平类,中级,全国计算机等级考试(1-4),2019-03-30,暂无数据
49,201721040224,女,苗族,法学院,法学,民商1701,外语水平类,中级,全国大学英语六级考试,2019-08-21,暂无数据
50,201721130136,女,汉族,金融学院,金融工程,金工1701,外语水平类,初级,全国大学英语四级考试,2018-12-15,暂无数据
51,201821090098,女,汉族,财政税务学院,财政学（中英班）,国财1801,外语水平类,中级,雅思英语水平考试(IELTS),2019-09-03,暂无数据
52,201721030085,男,汉族,金融学院,投资学,投资1702,计算机水平类,中级,全国计算机等级考试(1-4),2018-11-11,暂无数据
53,201721080075,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,计算机水平类,中级,全国计算机等级考试(1-4),2018-12-08,暂无数据
54,201729080366,男,侗族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1702,职业证书类,初级,普通话水平测试等级,2019-06-13,暂无数据
55,201721040043,女,汉族,法学院,法学,民商1702,外语水平类,初级,全国大学英语四级考试,2019-04-02,暂无数据
56,201721020259,女,汉族,经济学院,经济学,经济1704,外语水平类,初级,全国大学英语四级考试,2019-05-20,暂无数据
57,201721030422,女,汉族,金融学院,金融学（CFA）,CFA1701,职业证书类,高级,普通话水平测试等级,2019-06-09,暂无数据
58,1603030140,男,汉族,金融学院,工程管理,工程1601,外语水平类,中级,雅思英语水平考试(IELTS),2019-03-01,暂无数据
59,1613020115,女,汉族,信息与安全工程学院,环境工程,环境1601,外语水平类,中级,全国大学英语六级考试,2018-12-08,暂无数据
60,201721020099,女,壮族,经济学院,经济学,经济1701,职业证书类,中级,普通话水平测试等级,2019-06-15,暂无数据
61,1613030137,女,汉族,会计学院（会计硕士专业学位教育中心）,国际会计（中澳班）,国会1601,外语水平类,中级,雅思英语水平考试(IELTS),2019-05-09,暂无数据
62,201721020270,男,土家族,经济学院,经济学,经济1704,职业证书类,中级,普通话水平测试等级,2019-06-01,暂无数据
63,1609030152,女,汉族,信息与安全工程学院,信息管理与信息系统,信管1601,外语水平类,中级,全国大学英语六级考试,2018-12-15,暂无数据
64,201721320016,女,汉族,文澜学院,经济管理试验班,经管1702,职业证书类,中级,普通话水平测试等级,2019-06-10,暂无数据
65,1607030237,女,汉族,统计与数学学院,统计学,统计1601,外语水平类,中级,全国大学英语六级考试,2018-12-01,暂无数据
66,201721060385,女,汉族,工商管理学院,国际经济与贸易,国贸1701,计算机水平类,中级,全国计算机等级考试(1-4),2019-09-01,暂无数据
67,201721090034,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（CPAC）,CPAC1701,外语水平类,高级,托福英语水平考试(TOEFL),2018-11-17,暂无数据
68,201721070031,女,汉族,财政税务学院,财政学,财政1703,外语水平类,中级,全国大学英语六级考试,2019-08-27,暂无数据
69,1603030130,女,汉族,金融学院,工程管理,工程1601,职业证书类,中级,证券从业人员资格考试,2018-10-09,暂无数据
