id,number,gender,nation,academy,profession,class,social_practice_level,award_level,award_name,organization,award_type,award_date
1,1606080104,女,汉族,工商管理学院,农林经济管理,农经1601,校级,社会实践团队,社会实践“优秀团队”,共青团中南财经政法大学委员会,团体,2018-12-01
2,201821130086,女,汉族,信息与安全工程学院,计算机类,信息1804,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-30
3,1603050101,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（CPAC）,CPAC1601,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2019-12-20
4,201821040388,女,汉族,法学院,法学类,法1803,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2019-04-02
5,201721130047,女,汉族,信息与安全工程学院,信息管理与信息系统（金融信息）,信管1702,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-09-28
6,201821040681,女,汉族,法学院,法学（中美）,国法1801,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-19
7,201821130109,男,汉族,信息与安全工程学院,计算机类,信息1801,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-13
8,1606040222,女,汉族,工商管理学院,工商管理,工商1602,院级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2019-09-06
9,201721080029,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,校级,社会实践团队,社会实践“优秀团队”,共青团中南财经政法大学委员会,团体,2019-05-02
10,201821250016,女,汉族,中韩新媒体学院,电影学（影像）,影像1803,国家级,社会实践团队,全国大中专学生志愿者暑期文化科技卫生“三下乡”社会实践活动,共青团中央、中央宣传部、国家教育部、全国学联,团体,2019-06-14
11,201721120123,女,汉族,新闻与文化传播学院,新闻学,新闻1701,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-07-31
12,201721060288,男,汉族,工商管理学院,国际经济与贸易,国贸1702,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2019-05-06
13,1609030105,女,汉族,信息与安全工程学院,信息管理与信息系统,信管1601,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2018-09-27
14,201721030477,女,汉族,金融学院,工程造价,造价1701,院级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2018-12-17
15,201721140032,女,汉族,哲学院,社会学,社会1701,省级,社会实践先进个人,全国大中专学生志愿者暑期文化科技卫生“三下乡”社会实践活动,共青团中央、中央宣传部、国家教育部、全国学联,团体,2018-12-03
16,1608030145,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1601,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2018-12-01
17,1603100120,男,回族,金融学院,房地产开发与管理,房产1601,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-10
18,201721080213,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1701,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2018-12-01
19,201821040796,女,汉族,法学院,法学类,法1813,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2019-01-17
20,201721080281,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（基地班）,会基1701,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2019-04-01
21,1610020121,男,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共事业管理,公管1601,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2018-12-08
22,1610080136,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,城市管理,城管1601,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2018-12-05
23,201821120126,男,汉族,法学院,法学（中美）,国法1801,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-02-14
24,201721030105,女,汉族,金融学院,工程管理,工程1701,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2018-10-08
25,1605020123,男,汉族,刑事司法学院,治安学,治安1601,院级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2019-05-05
26,201821130158,女,汉族,信息与安全工程学院,环境工程,环境1801,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-31
27,1604000838,女,汉族,法学院,法学,法1608,校级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2018-12-09
28,201821130138,女,汉族,信息与安全工程学院,环境工程,环境1801,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-30
29,201721080259,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-09-02
30,201729030508,女,白族,金融学院,金融工程,金工1701,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-10
31,201721130275,女,汉族,信息与安全工程学院,环境工程,环境1701,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-07
32,201821250079,女,汉族,中韩新媒体学院,视觉传达设计（动漫）,动漫1804,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2019-04-02
33,1613030110,女,汉族,信息与安全工程学院,信息管理与信息系统（金融信息）,信管1602,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-27
34,201721030267,女,汉族,金融学院,保险学（精算）,保精1701,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-26
35,201721060346,女,汉族,工商管理学院,国际经济与贸易,国贸1702,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-08-30
36,201821040321,女,汉族,法学院,法学类,法1810,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-01-30
37,1609030158,女,汉族,信息与安全工程学院,信息管理与信息系统,信管1601,院级,社会实践先进个人,社会实践“先进个人”,共青团中南财经政法大学委员会,个体,2018-12-08
38,1603030153,男,汉族,金融学院,工程管理,工程1601,校级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2018-12-09
39,201721030007,女,汉族,金融学院,保险学（精算）,保精1701,院级,社会实践调查报告,社会实践“优秀成果”,共青团中南财经政法大学委员会,团体,2019-04-09
40,201721320005,女,汉族,文澜学院,经济管理试验班,经管1702,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,团体,2018-12-01
41,1602010408,女,汉族,经济学院,经济学,经济1604,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-02-18
42,201821040058,女,汉族,法学院,法学类,法1809,院级,其他（参加活动但未获奖）,其他（见附件）,其他（见附件）,个体,2019-02-13
43,201821060578,女,汉族,工商管理学院,经济与贸易类,经贸1802,校级,社会实践团队,寒暑假返乡大学生志愿服务行动,共青团中南财经政法大学委员会,团体,2019-03-31
