id,number,gender,nation,academy,profession,class,competition_level,award_level,award_name,organization,award_type,award_date
1,201721030311,女,汉族,金融学院,投资学,投资1702,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2019-05-18
2,201821030332,男,汉族,金融学院,金融学类,金融1808,校级体育赛事,第一名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,团体,2018-12-13
3,201821070045,女,汉族,财政税务学院,财政学类,财政1804,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,2019-03-29
4,201821070101,女,汉族,财政税务学院,财政学类,财政1805,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,2018-12-01
5,201721040667,男,汉族,法学院,法学,法1704,校级体育赛事,第二名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-08
6,201821080177,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（基地班）,会基1801,省级体育赛事,第一名,湖北省大学生球类比赛（兵乓球、羽毛球、游泳）,湖北省大学生体育协会,团体,2019-06-30
7,201821040211,女,汉族,法学院,法学类,法1803,院级体育赛事,第三名,新生体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-04-15
8,201721060324,女,汉族,工商管理学院,市场营销,市营1701,校级体育赛事,第一名,竞技类体育赛事（散打、跆拳道、定向越野）,中南财经政法大学体育运动委员会,个体,2019-04-25
9,1611030230,女,汉族,工商管理学院,国际经济与贸易,国贸1601,校级体育赛事,第三名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,个体,2018-12-09
10,201721130116,女,汉族,信息与安全工程学院,环境工程,环境1701,校级体育赛事,第五名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-10
11,1609020124,男,汉族,统计与数学学院,统计学,统计1601,校级体育赛事,第七名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,团体,2018-11-01
12,201721130127,女,汉族,信息与安全工程学院,信息管理与信息系统（金融信息）,信管1702,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-11-28
13,1605020112,男,汉族,刑事司法学院,治安学,治安1601,校级体育赛事,第一名,湖北省大学生基本军事技能竞赛,中南财经政法大学人民武装部,团体,2016-11-09
14,201821030229,女,汉族,金融学院,金融学类,金融1805,校级体育赛事,第七名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,个体,2019-04-18
15,201721030354,女,汉族,金融学院,金融学（CFA）,CFA1701,校级体育赛事,第八名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,团体,2018-12-09
16,201721040550,女,汉族,法学院,法学,法1706,校级体育赛事,第二名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-15
17,201721060361,女,汉族,工商管理学院,市场营销,市营1702,校级体育赛事,第四名,竞技类体育赛事（散打、跆拳道、定向越野）,中南财经政法大学体育运动委员会,个体,2019-05-30
18,201721040050,女,汉族,法学院,法学,民商1701,院级体育赛事,第六名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2018-11-30
19,201721070017,女,满族,财政税务学院,税收学,税务1703,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-08
20,201721040552,女,汉族,法学院,法学,法1706,院级体育赛事,第五名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-03-29
21,201821070161,男,汉族,金融学院,金融学类,金融1804,校级体育赛事,第四名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-07
22,1604000345,男,汉族,法学院,法学,法1603,校级体育赛事,第二名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2019-02-25
23,201721020154,女,汉族,经济学院,经济学,经济1702,省级体育赛事,第一名,全国全民健身操舞大赛,国家体育总局（区域赛）,团体,2019-06-08
24,201821250116,女,汉族,中韩新媒体学院,电影学（影像）,影像1804,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,2018-10-28
25,201821070117,女,汉族,财政税务学院,财政学类,财政1803,校级体育赛事,第二名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,团体,2018-10-25
26,201821040190,男,汉族,法学院,法学类,法1812,院级体育赛事,第四名,新生体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2018-11-29
27,201821090057,男,汉族,统计与数学学院,金融数学,金数1802,校级体育赛事,第六名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,团体,2019-03-29
28,201721030123,男,汉族,金融学院,工程管理,工程1701,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2019-05-25
29,1609010137,男,汉族,统计与数学学院,信息与计算科学,信科1601,校级体育赛事,第五名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,团体,2018-12-12
30,201821060603,男,汉族,会计学院（会计硕士专业学位教育中心）,国际会计（中澳班）,国会1801,校级体育赛事,第三名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,个体,2019-05-30
31,1610080108,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,城市管理,城管1601,校级体育赛事,第六名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,个体,2018-11-07
32,201721060074,女,汉族,财政税务学院,财政学（中英班）,国财1702,省级体育赛事,第一名,湖北省大学生球类比赛（兵乓球、羽毛球、游泳）,湖北省大学生体育协会,团体,2019-06-30
33,201721120090,女,汉族,新闻与文化传播学院,数字媒体艺术,媒体1702,院级体育赛事,第二名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-03-08
34,201821060057,女,汉族,工商管理学院,工商管理类,工商1809,校级体育赛事,第一名,“新生杯”系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球、象棋、围棋）,中南财经政法大学体育运动委员会,团体,2018-11-25
35,201821070077,女,汉族,财政税务学院,财政学类,财政1803,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2019-05-05
36,201721120058,女,汉族,新闻与文化传播学院,汉语言文学,中文1701,校级体育赛事,第六名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-02
37,201821040515,女,汉族,法学院,法学类,法1812,院级体育赛事,第一名,新生体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-04-13
38,201721130119,男,汉族,信息与安全工程学院,信息管理与信息系统,信管1701,院级体育赛事,第三名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-03-27
39,201721070066,男,汉族,财政税务学院,财政学,财政1703,校级体育赛事,第七名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-09-27
40,1607030137,女,壮族,财政税务学院,税收学,税务1601,校级体育赛事,第二名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,团体,2018-10-25
41,201821090167,女,汉族,统计与数学学院,统计学类,统计1801,校级体育赛事,第三名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-09
42,201721080316,男,汉族,会计学院（会计硕士专业学位教育中心）,会计学,会计1702,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-10-23
43,201821090101,女,汉族,统计与数学学院,金融数学,金数1801,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-08
44,1612040141,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（CPAC）,CPAC1601,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,2018-10-23
45,201821030477,男,汉族,金融学院,金融学类,金融1801,校级体育赛事,第一名,“新生杯”系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球、象棋、围棋）,中南财经政法大学体育运动委员会,团体,2018-12-01
46,1610010107,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1601,校级体育赛事,第五名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-08
47,1608020136,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（注册会计师）,注会1601,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-13
48,201821060315,男,汉族,工商管理学院,工商管理类,工商1809,校级体育赛事,第三名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,团体,2019-03-20
49,201721060119,男,汉族,工商管理学院,市场营销,市营1702,院级体育赛事,第三名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-03-12
50,201721040436,女,汉族,法学院,法学,民商1701,省级体育赛事,第三名,湖北省大学生体育舞蹈比赛,湖北省大学生体育协会,团体,2018-12-05
51,201821040541,男,汉族,法学院,法学类,法1813,院级体育赛事,第二名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-05-10
52,201721060230,男,汉族,工商管理学院,市场营销,市营1702,院级体育赛事,第三名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-03-24
53,201721130052,男,汉族,信息与安全工程学院,信息管理与信息系统,信管1701,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,2019-09-07
54,1609120149,女,汉族,统计与数学学院,金融数学,金数1601,院级体育赛事,第六名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2018-12-18
55,1604000607,女,汉族,法学院,法学,法1606,校级体育赛事,第一名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-10-09
56,201721060559,女,汉族,工商管理学院,旅游管理,旅游1701,校级体育赛事,第一名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-09
57,201821090258,女,汉族,统计与数学学院,统计学类,统计1803,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-11-09
58,201821030088,男,汉族,金融学院,金融学类,金融1808,校级体育赛事,第一名,“新生杯”系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球、象棋、围棋）,中南财经政法大学体育运动委员会,团体,2018-12-05
59,201721060481,男,汉族,工商管理学院,市场营销,市营1701,校级体育赛事,第三名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,团体,2019-04-08
60,201721060302,女,汉族,工商管理学院,人力资源管理,人力1701,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,2018-10-10
61,201821320008,男,汉族,文澜学院,经济管理试验班,经管1801,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,2019-11-07
62,1601020109,女,汉族,哲学院,国际政治,国政1601,省级体育赛事,第五名,全国青少年校园足球联赛,中国足球协会 全国青少年校园足球工作领导小组办公室（区域赛）,团体,2018-09-30
63,201821120006,男,汉族,新闻与文化传播学院,数字媒体艺术,媒体1802,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2019-05-09
64,201821040446,女,汉族,法学院,法学类,法1816,校级体育赛事,第二名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,团体,2019-05-30
65,201721060517,女,汉族,工商管理学院,电子商务（管理）,商务1701,校级体育赛事,第二名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,个体,2018-11-11
66,201821130026,男,汉族,法学院,法学类,法1807,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,2018-10-01
67,1605060101,男,汉族,财政税务学院,财政学（中英班）,国财1601,校级体育赛事,第一名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,个体,2018-12-09
68,201721020192,女,汉族,经济学院,经济学,经济1703,校级体育赛事,第二名,竞技类体育赛事（散打、跆拳道、定向越野）,中南财经政法大学体育运动委员会,个体,2019-04-25
69,201721030453,男,汉族,金融学院,房地产开发与管理,房产1701,校级体育赛事,第三名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-10-08
70,201821080329,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1802,校级体育赛事,第五名,“新生杯”系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球、象棋、围棋）,中南财经政法大学体育运动委员会,个体,2018-11-10
71,201721050065,男,汉族,刑事司法学院,治安学,治安1701,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-16
72,201821050069,男,汉族,刑事司法学院,公安学类,公安1802,校级体育赛事,第二名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-06
73,1603030138,女,回族,金融学院,工程管理,工程1601,校级体育赛事,第四名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,团体,2019-05-08
74,1602040260,女,回族,经济学院,国际商务,国商1602,校级体育赛事,第八名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-07
75,201721050108,男,汉族,刑事司法学院,边防管理,边管1701,校级体育赛事,第二名,竞技类体育赛事（散打、跆拳道、定向越野）,中南财经政法大学体育运动委员会,个体,2019-06-01
76,201721100264,女,汉族,公共管理学院（公共管理硕士专业学位教育中心）,公共事业管理,公管1701,校级体育赛事,第五名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-10
77,201721100092,女,壮族,公共管理学院（公共管理硕士专业学位教育中心）,行政管理,行管1701,校级体育赛事,第二名,竞技类体育赛事（散打、跆拳道、定向越野）,中南财经政法大学体育运动委员会,个体,2019-04-25
78,201721070104,女,苗族,财政税务学院,税收学,税务1703,校级体育赛事,第七名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-30
79,201821250247,女,汉族,中韩新媒体学院,视觉传达设计（动漫）,动漫1803,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-11-10
80,201721060445,女,汉族,工商管理学院,电子商务（管理）,商务1701,省级体育赛事,第二名,湖北省大学生游泳锦标赛,湖北省大学生体育协会,个体,2019-06-30
81,1605030127,男,汉族,刑事司法学院,边防管理,边管1601,省级体育赛事,第一名,全国全民健身操舞大赛,国家体育总局（区域赛）,团体,2019-05-13
82,201721090207,男,汉族,统计与数学学院,统计学,统计1701,院级体育赛事,第五名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-03-09
83,201721080290,女,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1701,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,2019-04-15
84,1613030114,男,汉族,信息与安全工程学院,信息管理与信息系统（金融信息）,信管1602,院级体育赛事,第八名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-09-07
85,201721030052,女,汉族,金融学院,工程管理,工程1701,校级体育赛事,第二名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-09
86,201721050118,男,汉族,刑事司法学院,治安学,治安1701,校级体育赛事,第五名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2017-11-28
87,201721130038,男,汉族,信息与安全工程学院,信息管理与信息系统,信管1701,院级体育赛事,第三名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-03-31
88,201821070136,女,汉族,财政税务学院,财政学类,财政1804,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,2018-10-24
89,201821090210,男,汉族,统计与数学学院,金融数学,金数1801,院级体育赛事,第二名,新生体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-03-19
90,201821090059,女,汉族,统计与数学学院,金融数学,金数1801,院级体育赛事,第二名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-03-20
91,201821040342,女,汉族,法学院,法学类,法1816,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2019-05-12
92,201821090173,男,汉族,统计与数学学院,金融数学,金数1802,院级体育赛事,第五名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-03-20
93,201721090042,男,汉族,统计与数学学院,信息与计算科学,信科1701,校级体育赛事,第一名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-01
94,1604000524,女,汉族,法学院,法学,法1605,省级体育赛事,第一名,湖北省大学生健美操啦啦操比赛,湖北省大学生体育协会,团体,2018-09-22
95,201821090223,男,汉族,统计与数学学院,金融数学,金数1802,院级体育赛事,第五名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-03-04
96,1603150118,女,汉族,金融学院,保险学（精算）,保精1601,校级体育赛事,第二名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-07
97,201821130198,女,汉族,信息与安全工程学院,计算机类,信息1802,校级体育赛事,第七名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-09
98,1609110134,女,汉族,统计与数学学院,应用统计学,应统1601,省级体育赛事,第一名,湖北省大学生武术比赛,湖北省大学生体育协会,团体,2018-09-09
99,1604060224,女,汉族,法学院,法学,民商1602,校级体育赛事,第二名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,团体,2019-03-02
100,1604000735,男,汉族,法学院,法学,法1607,院级体育赛事,第五名,新生体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-03-20
101,201721140173,男,汉族,哲学院,社会学,社会1701,校级体育赛事,第七名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-01
102,201721120127,女,汉族,新闻与文化传播学院,网络与新媒体,网媒1701,校级体育赛事,第七名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-15
103,201821030392,女,汉族,金融学院,管理科学与工程类,管工1802,院级体育赛事,第四名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-03-28
104,201821030197,男,汉族,金融学院,金融学类,金融1803,校级体育赛事,第八名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,个体,2019-11-01
105,1609120143,男,苗族,统计与数学学院,金融数学,金数1601,校级体育赛事,第五名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,团体,2018-12-19
106,201821110225,男,汉族,外国语学院,外国语言文学类,英语1802,校级体育赛事,第二名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,个体,2018-11-06
107,201721130150,女,汉族,信息与安全工程学院,信息管理与信息系统（金融信息）,信管1702,校级体育赛事,第六名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-09
108,201821040628,女,汉族,法学院,法学类,法1801,校级体育赛事,第一名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-10-25
109,201821020293,男,汉族,经济学院,国际商务,国商1801,省级体育赛事,第三名,“学府杯”湖北高校中国象棋联赛,湖北省中国象棋协会,团体,2018-12-09
110,201821050171,男,汉族,刑事司法学院,公安学类,公安1802,校级体育赛事,第二名,“新生杯”系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球、象棋、围棋）,中南财经政法大学体育运动委员会,团体,2018-10-08
111,201821140062,女,汉族,哲学院,社会学,社会1801,校级体育赛事,第四名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,个体,2018-11-08
112,201821070136,女,汉族,财政税务学院,财政学类,财政1804,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-10-29
113,201721140195,男,汉族,哲学院,社会学,社会1701,省级体育赛事,第三名,湖北省大学生网球锦标赛,湖北省大学生体育协会,团体,2018-09-15
114,1604000341,女,瑶族,法学院,法学,法1603,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-10-26
115,201821320025,女,汉族,法学院,法学类,法1804,校级体育赛事,第五名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-10-31
116,1610010120,女,汉族,法学院,法学,民商1601,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2019-05-17
117,201821120017,男,土家族,新闻与文化传播学院,数字媒体艺术,媒体1801,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-11-14
118,201721040443,男,汉族,法学院,法学,法1705,院级体育赛事,第二名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-05-09
119,1604060247,男,汉族,法学院,法学,民商1602,院级体育赛事,第二名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-04-25
120,201821030032,女,汉族,金融学院,管理科学与工程类,管工1801,校级体育赛事,第二名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-01
121,201721040714,女,汉族,法学院,法学,法1707,院级体育赛事,第八名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-05-14
122,201721060415,女,汉族,工商管理学院,市场营销,市营1702,省级体育赛事,第一名,全国全民健身操舞大赛,国家体育总局（区域赛）,团体,2019-06-01
123,1602010244,女,汉族,经济学院,经济学,经济1602,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,个体,2018-11-07
124,201721080162,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1701,院级体育赛事,第三名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2018-11-25
125,201821130020,男,汉族,信息与安全工程学院,计算机类,信息1804,校级体育赛事,第八名,“新生杯”系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球、象棋、围棋）,中南财经政法大学体育运动委员会,团体,2018-09-07
126,1613020105,女,汉族,信息与安全工程学院,环境工程,环境1601,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2019-05-24
127,1611060118,男,汉族,会计学院（会计硕士专业学位教育中心）,会计学（ACCA）,ACCA1601,校级体育赛事,第六名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,团体,2018-12-08
128,201821030380,男,汉族,财政税务学院,财政学（中英班）,国财1801,校级体育赛事,第六名,“新生杯”系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球、象棋、围棋）,中南财经政法大学体育运动委员会,团体,2018-10-05
129,201821110124,女,汉族,外国语学院,日语,日语1801,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-11-07
130,201821040774,女,汉族,法学院,法学,法1808,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-11-30
131,201721090052,女,汉族,统计与数学学院,信息与计算科学,信科1701,校级体育赛事,第四名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,团体,2018-12-09
132,201821130176,女,汉族,经济学院,国际商务,国商1801,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-11-07
133,201721140016,男,汉族,哲学院,国际政治,国政1701,校级体育赛事,第七名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-06
134,201821120012,女,汉族,新闻与文化传播学院,数字媒体艺术,媒体1801,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-12-01
135,201821250182,女,汉族,中韩新媒体学院,视觉传达设计（动漫）,动漫1804,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-11-30
136,201821040451,男,藏族,法学院,法学类,法1806,院级体育赛事,第四名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2019-03-29
137,201821120073,女,汉族,新闻与文化传播学院,新闻传播学类,新闻1801,院级体育赛事,其他（学院以上选拔推荐参赛但未获奖）,其他（见附件）,其他（见附件）,团体,2018-11-14
138,201721040083,女,汉族,法学院,法学,外法1702,校级体育赛事,第一名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-07
139,201721040368,男,撒拉族,法学院,法学,法1707,校级体育赛事,第八名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,个体,2019-04-15
140,201721110030,女,汉族,外国语学院,日语,日语1701,省级体育赛事,第一名,湖北省大学生象棋锦标赛,湖北省大学生体育协会,团体,2018-11-25
141,1608030103,女,汉族,会计学院（会计硕士专业学位教育中心）,财务管理,财务1601,院级体育赛事,第一名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2018-11-25
142,201721020191,男,回族,经济学院,经济学,经济1704,院级体育赛事,第二名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,团体,2018-12-08
143,201721050180,男,汉族,刑事司法学院,侦查学,职侦1701,省级体育赛事,第三名,湖北省大学生游泳锦标赛,湖北省大学生体育协会,个体,2019-06-30
144,201821070016,男,汉族,财政税务学院,财政学类,财政1804,校级体育赛事,第五名,“新生杯”系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球、象棋、围棋）,中南财经政法大学体育运动委员会,团体,2018-10-01
145,201721050065,男,汉族,刑事司法学院,治安学,治安1701,校级体育赛事,第三名,中南财经政法大学田径运动会,中南财经政法大学体育运动委员会,团体,2018-11-17
146,1607030218,男,汉族,财政税务学院,税收学,税务1602,校级体育赛事,第一名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,团体,2019-05-20
147,201721060450,女,汉族,工商管理学院,工商管理,工商1701,校级体育赛事,第五名,球类系列体育赛事（排球、篮球、乒乓球、羽毛球、足球、网球）,中南财经政法大学体育运动委员会,团体,2019-04-29
148,201821040144,男,汉族,法学院,法学类,法1816,院级体育赛事,第一名,学院系列体育赛事（排球、篮球、乒乓球、羽毛球、足球）,各学院,个体,2019-04-13
